"Older Independent","53","70.10377","45.2","83.5","112958.320755","372.00","982268.00","0.0079862075"
"Newly Independent","47","64.89574","37.5","74.9","12368.163830","6.00","276608.00","0.0030619787"
"Middle-aged Independent","79","60.17821","37.2","80.1","30047.759494","9.00","447114.00","0.0035719367"
